pos,neg,neu,compound
0.13,0.242,0.629,-0.7845
0.058,0.334,0.607,-0.7845
0.064,0.329,0.607,-0.8807
0.162,0.328,0.51,-0.936
0.044,0.267,0.688,-0.9128
0.259,0.231,0.51,0.1779
0.044,0.231,0.726,-0.8413
0.0,0.688,0.312,-0.9349
0.079,0.088,0.833,-0.3346
0.048,0.12,0.832,-0.5106
0.0,0.432,0.568,-0.5859
0.12,0.272,0.609,-0.8943
0.115,0.126,0.759,-0.1263
0.0,0.245,0.755,-0.8555
0.0,0.137,0.863,-0.6917
0.0,0.247,0.753,-0.7845
0.0,0.096,0.904,-0.5267
0.191,0.0,0.809,0.5106
0.0,0.251,0.749,-0.6908
0.0,0.306,0.694,-0.6597
0.245,0.0,0.755,0.6369
0.0,0.25,0.75,-0.25
0.0,0.304,0.696,-0.5423
0.164,0.0,0.836,0.3291
0.054,0.158,0.788,-0.5423
0.255,0.093,0.652,0.8122
0.228,0.285,0.488,-0.1779
0.04,0.129,0.832,-0.6908
0.176,0.238,0.586,-0.4019
0.31,0.0,0.69,0.5574
0.0,0.783,0.217,-0.8965
0.0,0.077,0.923,-0.4588
0.0,0.569,0.431,-0.765
0.0,0.0,1.0,0.0
0.124,0.0,0.876,0.6256
0.401,0.079,0.52,0.9382
0.0,0.227,0.773,-0.6908
0.189,0.064,0.747,0.5719
0.0,0.284,0.716,-0.9022
0.0,0.0,1.0,0.0
0.0,0.231,0.769,-0.5574
0.065,0.235,0.7,-0.7612
0.205,0.0,0.795,0.5574
0.079,0.314,0.607,-0.8225
0.0,0.421,0.579,-0.8402
0.13,0.201,0.669,-0.7015
0.095,0.244,0.66,-0.8537
0.0,0.524,0.476,-0.8271
0.061,0.0,0.939,0.0772
0.0,0.262,0.738,-0.5994
0.0,0.0,1.0,0.0
0.096,0.401,0.503,-0.9595
0.0,0.231,0.769,-0.4585
0.196,0.397,0.407,-0.3557
0.0,0.351,0.649,-0.8957
0.0,0.273,0.727,-0.7488
0.0,0.452,0.548,-0.872
0.0,0.0,1.0,0.0
0.098,0.0,0.902,0.3612
0.0,0.0,1.0,0.0
0.0,0.0,1.0,0.0
0.212,0.141,0.647,0.296
